word	hyphenated	locale	source	license
MacBook	MacBook	en-US	seed:mixed_case	manual-curation
iPhone	iPhone	en-US	seed:mixed_case	manual-curation
OpenAI	OpenAI	en-US	seed:mixed_case	manual-curation
GraphQL	GraphQL	en-US	seed:mixed_case	manual-curation
XMLHttpRequest	XMLHttpRequest	en-US	seed:mixed_case	manual-curation
JavaScript	JavaScript	en-US	seed:mixed_case	manual-curation
InDesign	InDesign	en-US	seed:mixed_case	manual-curation
McDonald	McDonald	en-US	seed:proper_mixed_case	manual-curation
YouTube	YouTube	en-US	seed:mixed_case	manual-curation
NASA	NASA	en-US	seed:all_caps	manual-curation
UNESCO	UNESCO	en-US	seed:all_caps	manual-curation
Praha	Praha	cs	seed:proper_name	manual-curation
Brno	Brno	cs	seed:proper_name	manual-curation
Česko	Česko	cs	seed:proper_name	manual-curation
Berlin	Berlin	de	seed:proper_name	manual-curation
Deutschland	Deutschland	de	seed:proper_name	manual-curation
München	München	de	seed:proper_name	manual-curation
Madrid	Madrid	es	seed:proper_name	manual-curation
Barcelona	Barcelona	es	seed:proper_name	manual-curation
España	España	es	seed:proper_name	manual-curation
Roma	Roma	it	seed:proper_name	manual-curation
Milano	Milano	it	seed:proper_name	manual-curation
Italia	Italia	it	seed:proper_name	manual-curation
IJsselmeer	IJsselmeer	nl	seed:proper_name	manual-curation
Amsterdam	Amsterdam	nl	seed:proper_name	manual-curation
Nederland	Nederland	nl	seed:proper_name	manual-curation
Москва	Москва	ru	seed:proper_name	manual-curation
Россия	Россия	ru	seed:proper_name	manual-curation
СанктПетербург	СанктПетербург	ru	seed:proper_mixed_case	manual-curation
İstanbul	İstanbul	tr	seed:proper_name	manual-curation
Ankara	Ankara	tr	seed:proper_name	manual-curation
Türkiye	Türkiye	tr	seed:proper_name	manual-curation
TBMM	TBMM	tr	seed:all_caps	manual-curation
Vespasian	Vespasian	en-US	wikidata:proper_name	CC0
Titus	Titus	en-US	wikidata:proper_name	CC0
Domitian	Domitian	en-US	wikidata:proper_name	CC0
Nerva	Nerva	en-US	wikidata:proper_name	CC0
Trajan	Trajan	en-US	wikidata:proper_name	CC0
Hadrian	Hadrian	en-US	wikidata:proper_name	CC0
Commodus	Commodus	en-US	wikidata:proper_name	CC0
Pertinax	Pertinax	en-US	wikidata:proper_name	CC0
Caracalla	Caracalla	en-US	wikidata:proper_name	CC0
Cicero	Cicero	en-US	wikidata:proper_name	CC0
Stendhal	Stendhal	en-US	wikidata:proper_name	CC0
Napoleon	Napoleon	en-US	wikidata:proper_name	CC0
Seneca	Seneca	en-US	wikidata:proper_name	CC0
Vegetius	Vegetius	en-US	wikidata:proper_name	CC0
