word	hyphenated	locale	source	license
Berlin	Berlin	de	seed:proper_name	manual-curation
Deutschland	Deutschland	de	seed:proper_name	manual-curation
München	München	de	seed:proper_name	manual-curation
Geschäftsführer	Geschäftsführer	de	wikidata:proper_name	CC0
Seneca	Seneca	de	wikidata:proper_name	CC0
Vergil	Vergil	de	wikidata:proper_name	CC0
Martial	Martial	de	wikidata:proper_name	CC0
Augustus	Augustus	de	wikidata:proper_name	CC0
Tiberius	Tiberius	de	wikidata:proper_name	CC0
Caligula	Caligula	de	wikidata:proper_name	CC0
Claudius	Claudius	de	wikidata:proper_name	CC0
Tacitus	Tacitus	de	wikidata:proper_name	CC0
Nero	Nero	de	wikidata:proper_name	CC0
Galba	Galba	de	wikidata:proper_name	CC0
Vespasian	Vespasian	de	wikidata:proper_name	CC0
Otho	Otho	de	wikidata:proper_name	CC0
Vitellius	Vitellius	de	wikidata:proper_name	CC0
Titus	Titus	de	wikidata:proper_name	CC0
Coluche	Coluche	de	wikidata:proper_name	CC0
Iulia	Iulia	de	wikidata:proper_name	CC0
Trajan	Trajan	de	wikidata:proper_name	CC0
Nerva	Nerva	de	wikidata:proper_name	CC0
Domitian	Domitian	de	wikidata:proper_name	CC0
Muzong	Muzong	de	wikidata:proper_name	CC0
Jingzong	Jingzong	de	wikidata:proper_name	CC0
Totò	Totò	de	wikidata:proper_name	CC0
Shengzong	Shengzong	de	wikidata:proper_name	CC0
Hadrian	Hadrian	de	wikidata:proper_name	CC0
Modi	Modi	de	wikidata:proper_name	CC0
Commodus	Commodus	de	wikidata:proper_name	CC0
Xizong	Xizong	de	wikidata:proper_name	CC0
Hailingwang	Hailingwang	de	wikidata:proper_name	CC0
Zhangzong	Zhangzong	de	wikidata:proper_name	CC0
Pertinax	Pertinax	de	wikidata:proper_name	CC0
Weishaowang	Weishaowang	de	wikidata:proper_name	CC0
Xuanzong	Xuanzong	de	wikidata:proper_name	CC0
Aizong	Aizong	de	wikidata:proper_name	CC0
Caracalla	Caracalla	de	wikidata:proper_name	CC0
Wace	Wace	de	wikidata:proper_name	CC0
Stendhal	Stendhal	de	wikidata:proper_name	CC0
Rigord	Rigord	de	wikidata:proper_name	CC0
Theopompos	Theopompos	de	wikidata:proper_name	CC0
Bourvil	Bourvil	de	wikidata:proper_name	CC0
Geronimo	Geronimo	de	wikidata:proper_name	CC0
Renaud	Renaud	de	wikidata:proper_name	CC0
Michelangelo	Michelangelo	de	wikidata:proper_name	CC0
Pinturicchio	Pinturicchio	de	wikidata:proper_name	CC0
Madonna	Madonna	de	wikidata:proper_name	CC0
Raffael	Raffael	de	wikidata:proper_name	CC0
Macrinus	Macrinus	de	wikidata:proper_name	CC0
Elagabal	Elagabal	de	wikidata:proper_name	CC0
Sinan	Sinan	de	wikidata:proper_name	CC0
Béroul	Béroul	de	wikidata:proper_name	CC0
Eminem	Eminem	de	wikidata:proper_name	CC0
Molière	Molière	de	wikidata:proper_name	CC0
Heloisa	Heloisa	de	wikidata:proper_name	CC0
Pupienus	Pupienus	de	wikidata:proper_name	CC0
Balbinus	Balbinus	de	wikidata:proper_name	CC0
Barbara	Barbara	de	wikidata:proper_name	CC0
Konfuzius	Konfuzius	de	wikidata:proper_name	CC0
Decius	Decius	de	wikidata:proper_name	CC0
Horaz	Horaz	de	wikidata:proper_name	CC0
Hafis	Hafis	de	wikidata:proper_name	CC0
Platon	Platon	de	wikidata:proper_name	CC0
Aristoteles	Aristoteles	de	wikidata:proper_name	CC0
Masaccio	Masaccio	de	wikidata:proper_name	CC0
Sokrates	Sokrates	de	wikidata:proper_name	CC0
Perugino	Perugino	de	wikidata:proper_name	CC0
Heino	Heino	de	wikidata:proper_name	CC0
Kalidasa	Kalidasa	de	wikidata:proper_name	CC0
Huizong	Huizong	de	wikidata:proper_name	CC0
Giorgione	Giorgione	de	wikidata:proper_name	CC0
Cleopatra	Cleopatra	de	wikidata:proper_name	CC0
Tamerlan	Tamerlan	de	wikidata:proper_name	CC0
Taizong	Taizong	de	wikidata:proper_name	CC0
Sallust	Sallust	de	wikidata:proper_name	CC0
Sodoma	Sodoma	de	wikidata:proper_name	CC0
Suddhipala	Suddhipala	de	wikidata:proper_name	CC0
Saladin	Saladin	de	wikidata:proper_name	CC0
Ovid	Ovid	de	wikidata:proper_name	CC0
Ashoka	Ashoka	de	wikidata:proper_name	CC0
Akbar	Akbar	de	wikidata:proper_name	CC0
