word	hyphenated	locale	source	license
MacBook	MacBook	en-US	seed:mixed_case	manual-curation
iPhone	iPhone	en-US	seed:mixed_case	manual-curation
OpenAI	OpenAI	en-US	seed:mixed_case	manual-curation
GraphQL	GraphQL	en-US	seed:mixed_case	manual-curation
XMLHttpRequest	XMLHttpRequest	en-US	seed:mixed_case	manual-curation
JavaScript	JavaScript	en-US	seed:mixed_case	manual-curation
InDesign	InDesign	en-US	seed:mixed_case	manual-curation
McDonald	McDonald	en-US	seed:proper_mixed_case	manual-curation
YouTube	YouTube	en-US	seed:mixed_case	manual-curation
NASA	NASA	en-US	seed:all_caps	manual-curation
UNESCO	UNESCO	en-US	seed:all_caps	manual-curation
Vespasian	Vespasian	en-US	wikidata:proper_name	CC0
Titus	Titus	en-US	wikidata:proper_name	CC0
Domitian	Domitian	en-US	wikidata:proper_name	CC0
Nerva	Nerva	en-US	wikidata:proper_name	CC0
Trajan	Trajan	en-US	wikidata:proper_name	CC0
Hadrian	Hadrian	en-US	wikidata:proper_name	CC0
Commodus	Commodus	en-US	wikidata:proper_name	CC0
Pertinax	Pertinax	en-US	wikidata:proper_name	CC0
Caracalla	Caracalla	en-US	wikidata:proper_name	CC0
Cicero	Cicero	en-US	wikidata:proper_name	CC0
Stendhal	Stendhal	en-US	wikidata:proper_name	CC0
Napoleon	Napoleon	en-US	wikidata:proper_name	CC0
Seneca	Seneca	en-US	wikidata:proper_name	CC0
Vegetius	Vegetius	en-US	wikidata:proper_name	CC0
Hippocrates	Hippocrates	en-US	wikidata:proper_name	CC0
Theopompus	Theopompus	en-US	wikidata:proper_name	CC0
Martial	Martial	en-US	wikidata:proper_name	CC0
Tacitus	Tacitus	en-US	wikidata:proper_name	CC0
Coluche	Coluche	en-US	wikidata:proper_name	CC0
Renaud	Renaud	en-US	wikidata:proper_name	CC0
Wace	Wace	en-US	wikidata:proper_name	CC0
Totò	Totò	en-US	wikidata:proper_name	CC0
Béroul	Béroul	en-US	wikidata:proper_name	CC0
Rigord	Rigord	en-US	wikidata:proper_name	CC0
Madonna	Madonna	en-US	wikidata:proper_name	CC0
Cleopatra	Cleopatra	en-US	wikidata:proper_name	CC0
Macrinus	Macrinus	en-US	wikidata:proper_name	CC0
Elagabalus	Elagabalus	en-US	wikidata:proper_name	CC0
Molière	Molière	en-US	wikidata:proper_name	CC0
Confucius	Confucius	en-US	wikidata:proper_name	CC0
Pupienus	Pupienus	en-US	wikidata:proper_name	CC0
Barbara	Barbara	en-US	wikidata:proper_name	CC0
Balbinus	Balbinus	en-US	wikidata:proper_name	CC0
Decius	Decius	en-US	wikidata:proper_name	CC0
Pinturicchio	Pinturicchio	en-US	wikidata:proper_name	CC0
Michelangelo	Michelangelo	en-US	wikidata:proper_name	CC0
Plato	Plato	en-US	wikidata:proper_name	CC0
Raphael	Raphael	en-US	wikidata:proper_name	CC0
Rembrandt	Rembrandt	en-US	wikidata:proper_name	CC0
Aristotle	Aristotle	en-US	wikidata:proper_name	CC0
Eminem	Eminem	en-US	wikidata:proper_name	CC0
Bourvil	Bourvil	en-US	wikidata:proper_name	CC0
Gerónimo	Gerónimo	en-US	wikidata:proper_name	CC0
Socrates	Socrates	en-US	wikidata:proper_name	CC0
Heino	Heino	en-US	wikidata:proper_name	CC0
Charlemagne	Charlemagne	en-US	wikidata:proper_name	CC0
Kalidasa	Kalidasa	en-US	wikidata:proper_name	CC0
Sallust	Sallust	en-US	wikidata:proper_name	CC0
Tolui	Tolui	en-US	wikidata:proper_name	CC0
Masaccio	Masaccio	en-US	wikidata:proper_name	CC0
Ovid	Ovid	en-US	wikidata:proper_name	CC0
Prince	Prince	en-US	wikidata:proper_name	CC0
Ziying	Ziying	en-US	wikidata:proper_name	CC0
Sophocles	Sophocles	en-US	wikidata:proper_name	CC0
Archimedes	Archimedes	en-US	wikidata:proper_name	CC0
Euclid	Euclid	en-US	wikidata:proper_name	CC0
Fibonacci	Fibonacci	en-US	wikidata:proper_name	CC0
Horace	Horace	en-US	wikidata:proper_name	CC0
Galen	Galen	en-US	wikidata:proper_name	CC0
Bramantino	Bramantino	en-US	wikidata:proper_name	CC0
Hafez	Hafez	en-US	wikidata:proper_name	CC0
Bronzino	Bronzino	en-US	wikidata:proper_name	CC0
Giotto	Giotto	en-US	wikidata:proper_name	CC0
Propertius	Propertius	en-US	wikidata:proper_name	CC0
Rurik	Rurik	en-US	wikidata:proper_name	CC0
Avicenna	Avicenna	en-US	wikidata:proper_name	CC0
Virgil	Virgil	en-US	wikidata:proper_name	CC0
Petrarch	Petrarch	en-US	wikidata:proper_name	CC0
Augustus	Augustus	en-US	wikidata:proper_name	CC0
Tiberius	Tiberius	en-US	wikidata:proper_name	CC0
Caligula	Caligula	en-US	wikidata:proper_name	CC0
Claudius	Claudius	en-US	wikidata:proper_name	CC0
Nero	Nero	en-US	wikidata:proper_name	CC0
Galba	Galba	en-US	wikidata:proper_name	CC0
Voltaire	Voltaire	en-US	wikidata:proper_name	CC0
Otho	Otho	en-US	wikidata:proper_name	CC0
Vitellius	Vitellius	en-US	wikidata:proper_name	CC0
Suetonius	Suetonius	en-US	wikidata:proper_name	CC0
Pythagoras	Pythagoras	en-US	wikidata:proper_name	CC0
