word	hyphenated	locale	source	license
Madrid	Madrid	es	seed:proper_name	manual-curation
Barcelona	Barcelona	es	seed:proper_name	manual-curation
España	España	es	seed:proper_name	manual-curation
Cicerón	Cicerón	es	wikidata:proper_name	CC0
Stendhal	Stendhal	es	wikidata:proper_name	CC0
Séneca	Séneca	es	wikidata:proper_name	CC0
Vegecio	Vegecio	es	wikidata:proper_name	CC0
Marcial	Marcial	es	wikidata:proper_name	CC0
Teopompo	Teopompo	es	wikidata:proper_name	CC0
Cleopatra	Cleopatra	es	wikidata:proper_name	CC0
Tácito	Tácito	es	wikidata:proper_name	CC0
Hipócrates	Hipócrates	es	wikidata:proper_name	CC0
Madonna	Madonna	es	wikidata:proper_name	CC0
Coluche	Coluche	es	wikidata:proper_name	CC0
Molière	Molière	es	wikidata:proper_name	CC0
Totò	Totò	es	wikidata:proper_name	CC0
Macrino	Macrino	es	wikidata:proper_name	CC0
Heliogábalo	Heliogábalo	es	wikidata:proper_name	CC0
Béroul	Béroul	es	wikidata:proper_name	CC0
Wace	Wace	es	wikidata:proper_name	CC0
Rigord	Rigord	es	wikidata:proper_name	CC0
Platón	Platón	es	wikidata:proper_name	CC0
Pupieno	Pupieno	es	wikidata:proper_name	CC0
Balbino	Balbino	es	wikidata:proper_name	CC0
Confucio	Confucio	es	wikidata:proper_name	CC0
Barbara	Barbara	es	wikidata:proper_name	CC0
Aristóteles	Aristóteles	es	wikidata:proper_name	CC0
Decio	Decio	es	wikidata:proper_name	CC0
Sócrates	Sócrates	es	wikidata:proper_name	CC0
Pinturicchio	Pinturicchio	es	wikidata:proper_name	CC0
Rembrandt	Rembrandt	es	wikidata:proper_name	CC0
Sinan	Sinan	es	wikidata:proper_name	CC0
Bourvil	Bourvil	es	wikidata:proper_name	CC0
Eminem	Eminem	es	wikidata:proper_name	CC0
Gerónimo	Gerónimo	es	wikidata:proper_name	CC0
Eloísa	Eloísa	es	wikidata:proper_name	CC0
Carlomagno	Carlomagno	es	wikidata:proper_name	CC0
Heino	Heino	es	wikidata:proper_name	CC0
Kalidasa	Kalidasa	es	wikidata:proper_name	CC0
Masaccio	Masaccio	es	wikidata:proper_name	CC0
Qinzong	Qinzong	es	wikidata:proper_name	CC0
Xiaozong	Xiaozong	es	wikidata:proper_name	CC0
Lizong	Lizong	es	wikidata:proper_name	CC0
Guangzong	Guangzong	es	wikidata:proper_name	CC0
Salustio	Salustio	es	wikidata:proper_name	CC0
Ningzong	Ningzong	es	wikidata:proper_name	CC0
Duzong	Duzong	es	wikidata:proper_name	CC0
Bing	Bing	es	wikidata:proper_name	CC0
Ogodei	Ogodei	es	wikidata:proper_name	CC0
Möngke	Möngke	es	wikidata:proper_name	CC0
Tolui	Tolui	es	wikidata:proper_name	CC0
Ovidio	Ovidio	es	wikidata:proper_name	CC0
Ziying	Ziying	es	wikidata:proper_name	CC0
Prince	Prince	es	wikidata:proper_name	CC0
Galeno	Galeno	es	wikidata:proper_name	CC0
Sófocles	Sófocles	es	wikidata:proper_name	CC0
Horacio	Horacio	es	wikidata:proper_name	CC0
Lenin	Lenin	es	wikidata:proper_name	CC0
Propercio	Propercio	es	wikidata:proper_name	CC0
Zhaozong	Zhaozong	es	wikidata:proper_name	CC0
Virgilio	Virgilio	es	wikidata:proper_name	CC0
Petrarca	Petrarca	es	wikidata:proper_name	CC0
Bacchiacca	Bacchiacca	es	wikidata:proper_name	CC0
Augusto	Augusto	es	wikidata:proper_name	CC0
Tiberio	Tiberio	es	wikidata:proper_name	CC0
Calígula	Calígula	es	wikidata:proper_name	CC0
Claudio	Claudio	es	wikidata:proper_name	CC0
Bramantino	Bramantino	es	wikidata:proper_name	CC0
Bronzino	Bronzino	es	wikidata:proper_name	CC0
Giotto	Giotto	es	wikidata:proper_name	CC0
Nerón	Nerón	es	wikidata:proper_name	CC0
Galba	Galba	es	wikidata:proper_name	CC0
Vitelio	Vitelio	es	wikidata:proper_name	CC0
Otón	Otón	es	wikidata:proper_name	CC0
Chanakia	Chanakia	es	wikidata:proper_name	CC0
Vespasiano	Vespasiano	es	wikidata:proper_name	CC0
Tito	Tito	es	wikidata:proper_name	CC0
Riúrik	Riúrik	es	wikidata:proper_name	CC0
Chenghua	Chenghua	es	wikidata:proper_name	CC0
Domiciano	Domiciano	es	wikidata:proper_name	CC0
Nerva	Nerva	es	wikidata:proper_name	CC0
