word	hyphenated	locale	source	license
Roma	Roma	it	seed:proper_name	manual-curation
Milano	Milano	it	seed:proper_name	manual-curation
Italia	Italia	it	seed:proper_name	manual-curation
Xiaozong	Xiaozong	it	wikidata:proper_name	CC0
Guangzong	Guangzong	it	wikidata:proper_name	CC0
Ningzong	Ningzong	it	wikidata:proper_name	CC0
Lizong	Lizong	it	wikidata:proper_name	CC0
Duzong	Duzong	it	wikidata:proper_name	CC0
Heino	Heino	it	wikidata:proper_name	CC0
Duanzong	Duanzong	it	wikidata:proper_name	CC0
Bing	Bing	it	wikidata:proper_name	CC0
Tolui	Tolui	it	wikidata:proper_name	CC0
Ögödei	Ögödei	it	wikidata:proper_name	CC0
Archimede	Archimede	it	wikidata:proper_name	CC0
Güyük	Güyük	it	wikidata:proper_name	CC0
Munke	Munke	it	wikidata:proper_name	CC0
Euclide	Euclide	it	wikidata:proper_name	CC0
Kālidāsa	Kālidāsa	it	wikidata:proper_name	CC0
Renaud	Renaud	it	wikidata:proper_name	CC0
Lena	Lena	it	wikidata:proper_name	CC0
Prince	Prince	it	wikidata:proper_name	CC0
Galeno	Galeno	it	wikidata:proper_name	CC0
Eulero	Eulero	it	wikidata:proper_name	CC0
Alhazen	Alhazen	it	wikidata:proper_name	CC0
Ziying	Ziying	it	wikidata:proper_name	CC0
Houshao	Houshao	it	wikidata:proper_name	CC0
Bergognone	Bergognone	it	wikidata:proper_name	CC0
Bramante	Bramante	it	wikidata:proper_name	CC0
Jingdi	Jingdi	it	wikidata:proper_name	CC0
Bramantino	Bramantino	it	wikidata:proper_name	CC0
Giotto	Giotto	it	wikidata:proper_name	CC0
Shang	Shang	it	wikidata:proper_name	CC0
Chanakya	Chanakya	it	wikidata:proper_name	CC0
Zhao	Zhao	it	wikidata:proper_name	CC0
Xuan	Xuan	it	wikidata:proper_name	CC0
Dezong	Dezong	it	wikidata:proper_name	CC0
Yuan	Yuan	it	wikidata:proper_name	CC0
Sofocle	Sofocle	it	wikidata:proper_name	CC0
Rjurik	Rjurik	it	wikidata:proper_name	CC0
Voltaire	Voltaire	it	wikidata:proper_name	CC0
Hongwu	Hongwu	it	wikidata:proper_name	CC0
Anwari	Anwari	it	wikidata:proper_name	CC0
Jianwen	Jianwen	it	wikidata:proper_name	CC0
Aryabhata	Aryabhata	it	wikidata:proper_name	CC0
Yongle	Yongle	it	wikidata:proper_name	CC0
Ping	Ping	it	wikidata:proper_name	CC0
Hongxi	Hongxi	it	wikidata:proper_name	CC0
Xuande	Xuande	it	wikidata:proper_name	CC0
Zhengtong	Zhengtong	it	wikidata:proper_name	CC0
Jingtai	Jingtai	it	wikidata:proper_name	CC0
Chenghua	Chenghua	it	wikidata:proper_name	CC0
Hongzhi	Hongzhi	it	wikidata:proper_name	CC0
Avicenna	Avicenna	it	wikidata:proper_name	CC0
Zhengde	Zhengde	it	wikidata:proper_name	CC0
Jiajing	Jiajing	it	wikidata:proper_name	CC0
Longqing	Longqing	it	wikidata:proper_name	CC0
Wanli	Wanli	it	wikidata:proper_name	CC0
Gengshi	Gengshi	it	wikidata:proper_name	CC0
Taichang	Taichang	it	wikidata:proper_name	CC0
Tianqi	Tianqi	it	wikidata:proper_name	CC0
Chongzhen	Chongzhen	it	wikidata:proper_name	CC0
(.)p(...)nin	(.)p(...)nin	it	wikidata:proper_name	CC0
Ammurapi	Ammurapi	it	wikidata:proper_name	CC0
Shun	Shun	it	wikidata:proper_name	CC0
Chong	Chong	it	wikidata:proper_name	CC0
Huan	Huan	it	wikidata:proper_name	CC0
Ling	Ling	it	wikidata:proper_name	CC0
Cartesio	Cartesio	it	wikidata:proper_name	CC0
Adai	Adai	it	wikidata:proper_name	CC0
Oyiradai	Oyiradai	it	wikidata:proper_name	CC0
Agbarjin	Agbarjin	it	wikidata:proper_name	CC0
Pitagora	Pitagora	it	wikidata:proper_name	CC0
Xian	Xian	it	wikidata:proper_name	CC0
Aaliyah	Aaliyah	it	wikidata:proper_name	CC0
Tintoretto	Tintoretto	it	wikidata:proper_name	CC0
Laozi	Laozi	it	wikidata:proper_name	CC0
Parmigianino	Parmigianino	it	wikidata:proper_name	CC0
Beck	Beck	it	wikidata:proper_name	CC0
Ipazia	Ipazia	it	wikidata:proper_name	CC0
