word	hyphenated	locale	source	license
IJsselmeer	IJsselmeer	nl	seed:proper_name	manual-curation
Amsterdam	Amsterdam	nl	seed:proper_name	manual-curation
Nederland	Nederland	nl	seed:proper_name	manual-curation
Socrates	Socrates	nl	wikidata:proper_name	CC0
bestuursvoorzitter	bestuursvoorzitter	nl	wikidata:proper_name	CC0
Pupienus	Pupienus	nl	wikidata:proper_name	CC0
Balbinus	Balbinus	nl	wikidata:proper_name	CC0
Barbara	Barbara	nl	wikidata:proper_name	CC0
Decius	Decius	nl	wikidata:proper_name	CC0
Taizong	Taizong	nl	wikidata:proper_name	CC0
Wace	Wace	nl	wikidata:proper_name	CC0
Rigord	Rigord	nl	wikidata:proper_name	CC0
Stendhal	Stendhal	nl	wikidata:proper_name	CC0
Theopompus	Theopompus	nl	wikidata:proper_name	CC0
Coluche	Coluche	nl	wikidata:proper_name	CC0
Vergilius	Vergilius	nl	wikidata:proper_name	CC0
Béroul	Béroul	nl	wikidata:proper_name	CC0
Totò	Totò	nl	wikidata:proper_name	CC0
Augustus	Augustus	nl	wikidata:proper_name	CC0
Caligula	Caligula	nl	wikidata:proper_name	CC0
Sinan	Sinan	nl	wikidata:proper_name	CC0
Nero	Nero	nl	wikidata:proper_name	CC0
Otho	Otho	nl	wikidata:proper_name	CC0
Eminem	Eminem	nl	wikidata:proper_name	CC0
Vitellius	Vitellius	nl	wikidata:proper_name	CC0
Confucius	Confucius	nl	wikidata:proper_name	CC0
Titus	Titus	nl	wikidata:proper_name	CC0
Vespasianus	Vespasianus	nl	wikidata:proper_name	CC0
Molière	Molière	nl	wikidata:proper_name	CC0
Héloïse	Héloïse	nl	wikidata:proper_name	CC0
Trajanus	Trajanus	nl	wikidata:proper_name	CC0
Nerva	Nerva	nl	wikidata:proper_name	CC0
Hadrianus	Hadrianus	nl	wikidata:proper_name	CC0
Pertinax	Pertinax	nl	wikidata:proper_name	CC0
Commodus	Commodus	nl	wikidata:proper_name	CC0
Caracalla	Caracalla	nl	wikidata:proper_name	CC0
Masaccio	Masaccio	nl	wikidata:proper_name	CC0
Plato	Plato	nl	wikidata:proper_name	CC0
Aristoteles	Aristoteles	nl	wikidata:proper_name	CC0
Bourvil	Bourvil	nl	wikidata:proper_name	CC0
Geronimo	Geronimo	nl	wikidata:proper_name	CC0
Horatius	Horatius	nl	wikidata:proper_name	CC0
Mohammed	Mohammed	nl	wikidata:proper_name	CC0
Renaud	Renaud	nl	wikidata:proper_name	CC0
Madonna	Madonna	nl	wikidata:proper_name	CC0
Giorgione	Giorgione	nl	wikidata:proper_name	CC0
Macrinus	Macrinus	nl	wikidata:proper_name	CC0
Elagabalus	Elagabalus	nl	wikidata:proper_name	CC0
Saladin	Saladin	nl	wikidata:proper_name	CC0
Asoka	Asoka	nl	wikidata:proper_name	CC0
Heino	Heino	nl	wikidata:proper_name	CC0
Prince	Prince	nl	wikidata:proper_name	CC0
Alhazen	Alhazen	nl	wikidata:proper_name	CC0
Kālidāsa	Kālidāsa	nl	wikidata:proper_name	CC0
Archimedes	Archimedes	nl	wikidata:proper_name	CC0
Fibonacci	Fibonacci	nl	wikidata:proper_name	CC0
Hongwu	Hongwu	nl	wikidata:proper_name	CC0
Jianwen	Jianwen	nl	wikidata:proper_name	CC0
Yongle	Yongle	nl	wikidata:proper_name	CC0
Bachiacca	Bachiacca	nl	wikidata:proper_name	CC0
Hongxi	Hongxi	nl	wikidata:proper_name	CC0
Xuande	Xuande	nl	wikidata:proper_name	CC0
Jingtai	Jingtai	nl	wikidata:proper_name	CC0
Zhengtong	Zhengtong	nl	wikidata:proper_name	CC0
Anvari	Anvari	nl	wikidata:proper_name	CC0
Aryabhata	Aryabhata	nl	wikidata:proper_name	CC0
Avempace	Avempace	nl	wikidata:proper_name	CC0
Chenghua	Chenghua	nl	wikidata:proper_name	CC0
Zhengde	Zhengde	nl	wikidata:proper_name	CC0
Ovidius	Ovidius	nl	wikidata:proper_name	CC0
Hongzhi	Hongzhi	nl	wikidata:proper_name	CC0
Jiajing	Jiajing	nl	wikidata:proper_name	CC0
