word	hyphenated	locale	source	license
Москва	Москва	ru	seed:proper_name	manual-curation
Россия	Россия	ru	seed:proper_name	manual-curation
СанктПетербург	СанктПетербург	ru	seed:proper_mixed_case	manual-curation
Сократ	Сократ	ru	wikidata:proper_name	CC0
Пупиен	Пупиен	ru	wikidata:proper_name	CC0
Барбара	Барбара	ru	wikidata:proper_name	CC0
Бальбин	Бальбин	ru	wikidata:proper_name	CC0
Стендаль	Стендаль	ru	wikidata:proper_name	CC0
Забел	Забел	ru	wikidata:proper_name	CC0
Абаоцзи	Абаоцзи	ru	wikidata:proper_name	CC0
Клеопатра	Клеопатра	ru	wikidata:proper_name	CC0
Мольер	Мольер	ru	wikidata:proper_name	CC0
Гиппократ	Гиппократ	ru	wikidata:proper_name	CC0
Вегеций	Вегеций	ru	wikidata:proper_name	CC0
Феопомп	Феопомп	ru	wikidata:proper_name	CC0
Чингисхан	Чингисхан	ru	wikidata:proper_name	CC0
Вергилий	Вергилий	ru	wikidata:proper_name	CC0
Колюш	Колюш	ru	wikidata:proper_name	CC0
Тиберий	Тиберий	ru	wikidata:proper_name	CC0
Калигула	Калигула	ru	wikidata:proper_name	CC0
Платон	Платон	ru	wikidata:proper_name	CC0
Клавдий	Клавдий	ru	wikidata:proper_name	CC0
Тото	Тото	ru	wikidata:proper_name	CC0
Нерон	Нерон	ru	wikidata:proper_name	CC0
Гальба	Гальба	ru	wikidata:proper_name	CC0
Аристотель	Аристотель	ru	wikidata:proper_name	CC0
Отон	Отон	ru	wikidata:proper_name	CC0
Беруль	Беруль	ru	wikidata:proper_name	CC0
Вителлий	Вителлий	ru	wikidata:proper_name	CC0
Веспасиан	Веспасиан	ru	wikidata:proper_name	CC0
Домициан	Домициан	ru	wikidata:proper_name	CC0
Траян	Траян	ru	wikidata:proper_name	CC0
Нерва	Нерва	ru	wikidata:proper_name	CC0
Адриан	Адриан	ru	wikidata:proper_name	CC0
Коммод	Коммод	ru	wikidata:proper_name	CC0
Конфуций	Конфуций	ru	wikidata:proper_name	CC0
Пертинакс	Пертинакс	ru	wikidata:proper_name	CC0
Каракалла	Каракалла	ru	wikidata:proper_name	CC0
Пинтуриккьо	Пинтуриккьо	ru	wikidata:proper_name	CC0
Микеланджело	Микеланджело	ru	wikidata:proper_name	CC0
Рембрандт	Рембрандт	ru	wikidata:proper_name	CC0
Гораций	Гораций	ru	wikidata:proper_name	CC0
Синан	Синан	ru	wikidata:proper_name	CC0
Эминем	Эминем	ru	wikidata:proper_name	CC0
Элоиза	Элоиза	ru	wikidata:proper_name	CC0
Бурвиль	Бурвиль	ru	wikidata:proper_name	CC0
Джеронимо	Джеронимо	ru	wikidata:proper_name	CC0
Хайно	Хайно	ru	wikidata:proper_name	CC0
Чонцзун	Чонцзун	ru	wikidata:proper_name	CC0
Калидаса	Калидаса	ru	wikidata:proper_name	CC0
Мазаччо	Мазаччо	ru	wikidata:proper_name	CC0
Хуэйцзун	Хуэйцзун	ru	wikidata:proper_name	CC0
