dataset	method	fold	words	precision	recall	f1	f0.5	exact	serious_error	fp_per_100k	ns_per_word
hyph_bench_cs_cstenten	hypher	fold-0	121354	0.9985855897255328	0.9992982623782037	0.998941798941799	0.9987280429230302	0.9943965588278919	0.003823524564497256	65.30940675911025	447.3651465959095
hyph_bench_cs_cstenten	hypher	fold-1	121230	0.998555327379531	0.9992801264109971	0.9989175954195624	0.9987002030596873	0.9942918419533119	0.003876928153097418	66.64215777393163	453.05887239132227
hyph_bench_cs_cstenten	hypher	fold-2	121243	0.9986691930117714	0.9993699611824425	0.9990194542076161	0.9988092680131785	0.9948120716247536	0.003604331796474848	61.465440849160224	457.06777917075624
hyph_bench_cs_cstenten	hypher	fold-3	121262	0.9986042308506736	0.9992539117407433	0.9989289656612669	0.998734099435833	0.9944665270241295	0.0036862331150731473	64.39814566365179	453.8029052794775
hyph_bench_cs_cstenten	hypher	fold-4	121410	0.9985835778525252	0.9992182348219694	0.9989008055290824	0.9987104447414835	0.9942344123218845	0.0037805782060785767	65.38916880041849	471.1644600938967
hyph_bench_cs_cstenten	liang_tex	fold-0	121354	0.9708074844906944	0.8884573120478618	0.9278086798527325	0.9531384055170967	0.7566376056825486	0.05516093412660481	1153.0974879535731	1082.371821283188
hyph_bench_cs_cstenten	liang_tex	fold-1	121230	0.9707180872090846	0.8899205761850628	0.9285650314355258	0.9534057972199107	0.758327146745855	0.05556380433886002	1157.6469349582394	1106.7673018229812
hyph_bench_cs_cstenten	liang_tex	fold-2	121243	0.9707196980742234	0.8892442015767743	0.9281974376285818	0.9532516833157434	0.7576932276502562	0.055871266794784026	1157.7211883236348	1113.5284267957738
hyph_bench_cs_cstenten	liang_tex	fold-3	121262	0.9707259172879097	0.8895915789152281	0.9283894853610398	0.953336294602065	0.7581847569725059	0.05573056687173228	1155.673057477841	1085.2354645313453
hyph_bench_cs_cstenten	liang_tex	fold-4	121410	0.9711146376105328	0.8889566715978587	0.9282212264836384	0.9534901981312327	0.7576476402273289	0.05505312577217692	1141.0773020226768	1102.876444691541
hyph_bench_cs_cstenten	liang_libreoffice	fold-0	121354	0.970811653658862	0.8884611275602088	0.9278126643609645	0.9531424988047599	0.7566376056825486	0.05516093412660481	1152.9328067927686	1088.747074674094
hyph_bench_cs_cstenten	liang_libreoffice	fold-1	121230	0.9707222483449083	0.8899243909696419	0.9285690118756431	0.9534098841438794	0.758327146745855	0.05556380433886002	1157.4824263700687	1100.037600841376
hyph_bench_cs_cstenten	liang_libreoffice	fold-2	121243	0.9707198200449888	0.889248017584162	0.9281995722087016	0.9532526544350215	0.7577014755491038	0.055871266794784026	1157.7211883236348	1153.3895771302261
hyph_bench_cs_cstenten	liang_libreoffice	fold-3	121262	0.9707259172879097	0.8895915789152281	0.9283894853610398	0.953336294602065	0.7581847569725059	0.05573056687173228	1155.673057477841	1090.8123352740347
hyph_bench_cs_cstenten	liang_libreoffice	fold-4	121410	0.9711146376105328	0.8889566715978587	0.9282212264836384	0.9534901981312327	0.7576476402273289	0.05505312577217692	1141.0773020226768	1102.2860040359114
hyph_bench_cs_cstenten	guarded_ngram	fold-0	121354	0.9798191526798146	0.9773816428069961	0.9785988798985338	0.9793306785581023	0.9156105278771198	0.04239662475072927	868.8578044048917	105.7556990292862
hyph_bench_cs_cstenten	guarded_ngram	fold-1	121230	0.9796984401947175	0.977340179600058	0.978517889027872	0.9792258780613468	0.9152684978965603	0.04263796090076714	873.3760945990185	107.40441722345955
hyph_bench_cs_cstenten	guarded_ngram	fold-2	121243	0.978727631156685	0.9775847726041198	0.9781558680570138	0.9784988457242908	0.9135620200753858	0.04467062015951436	917.0851581428367	105.67924539973441
hyph_bench_cs_cstenten	guarded_ngram	fold-3	121262	0.979164198045234	0.9776992393391066	0.9784311703391352	0.9788708552003588	0.9147218419620327	0.043863700087414026	896.2261824315992	105.11823901964341
hyph_bench_cs_cstenten	guarded_ngram	fold-4	121410	0.9792704133305307	0.9769517607405939	0.9781097129202128	0.9788058027528543	0.913573840705049	0.043587842846553	892.4590174723862	105.9416267193806
hyph_bench_cs_ujc	hypher	fold-0	21003	0.9681049975493311	0.9912823658432313	0.9795566004812373	0.9726533575052799	0.9064419368661619	0.07789363424272723	1432.5549540147413	462.1540184735514
hyph_bench_cs_ujc	hypher	fold-1	21072	0.9673816634989592	0.9923314022578729	0.9796977112950385	0.9722707360025615	0.9048974943052391	0.08048595292331055	1469.760613351821	466.17816296507215
hyph_bench_cs_ujc	hypher	fold-2	21001	0.9673362730687571	0.9918319502846723	0.9794309757195484	0.9721381312597112	0.9044331222322747	0.08018665777820104	1470.2038682697334	444.41822294176467
hyph_bench_cs_ujc	hypher	fold-3	21002	0.9669227293267059	0.9917133217159171	0.9791611373973844	0.9717811961837219	0.903247309780021	0.08075421388439197	1488.930654885401	436.9531282734978
hyph_bench_cs_ujc	hypher	fold-4	21066	0.9670276123443422	0.9921124257068267	0.9794094261508512	0.9719425791495705	0.9036836608753441	0.08088863571632014	1481.4394369394936	443.7973701699421
hyph_bench_cs_ujc	liang_tex	fold-0	21003	0.955898813521379	0.8990314883263931	0.9265934489867267	0.9439570048831291	0.7725563014807408	0.07946483835642527	1732.3927147658876	1057.6376993762797
hyph_bench_cs_ujc	liang_tex	fold-1	21072	0.9534191773971746	0.8962955998495675	0.9239753328729449	0.9414192885781438	0.7677961275626424	0.08238420652999241	1822.2543917993662	1044.9501518602885
hyph_bench_cs_ujc	liang_tex	fold-2	21001	0.9573840927258194	0.8983428263366383	0.9269242396759175	0.9449630407661089	0.7755821151373744	0.07632969858578163	1670.3055699697466	1056.3078329603352
hyph_bench_cs_ujc	liang_tex	fold-3	21002	0.9547731180384241	0.8955265741130276	0.9242013097434784	0.9423048546554523	0.766926959337206	0.08127797352633083	1769.0575747828884	1050.4905270926579
hyph_bench_cs_ujc	liang_tex	fold-4	21066	0.9556755680545531	0.9001828496413334	0.9270995545576358	0.9440363453992978	0.7753726383746321	0.07894237159403779	1730.5207108640943	1025.9009375296687
hyph_bench_cs_ujc	liang_libreoffice	fold-0	21003	0.9558977165315159	0.8990080943246151	0.9265805082702415	0.943950990891852	0.7725086892348713	0.07946483835642527	1732.3927147658876	1068.510350902252
hyph_bench_cs_ujc	liang_libreoffice	fold-1	21072	0.9534191773971746	0.8962955998495675	0.9239753328729449	0.9414192885781438	0.7677961275626424	0.08238420652999241	1822.2543917993662	1037.238299639332
hyph_bench_cs_ujc	liang_libreoffice	fold-2	21001	0.9573840927258194	0.8983428263366383	0.9269242396759175	0.9449630407661089	0.7755821151373744	0.07632969858578163	1670.3055699697466	1078.375136898243
hyph_bench_cs_ujc	liang_libreoffice	fold-3	21002	0.9547980364306895	0.8955499462440986	0.9242254302495267	0.9423294476415326	0.766926959337206	0.08127797352633083	1768.082887413862	1036.4774783353967
hyph_bench_cs_ujc	liang_libreoffice	fold-4	21066	0.9556766711462844	0.9002062919030428	0.9271125060357315	0.9440423627978327	0.7754201082312732	0.07894237159403779	1730.5207108640943	1048.49322842495
hyph_bench_cs_ujc	guarded_ngram	fold-0	21003	0.9613876036357658	0.9575866747765873	0.9594833749399342	0.9606250058670572	0.8605437318478313	0.07441794029424367	1606.347221136559	117.31756653811361
hyph_bench_cs_ujc	guarded_ngram	fold-1	21072	0.9602117002173708	0.9552463332079729	0.9577225809492389	0.959214501510574	0.8551157934700075	0.0766419893697798	1647.16929457334	117.95836892558846
hyph_bench_cs_ujc	guarded_ngram	fold-2	21001	0.9605377582438245	0.9579260717717929	0.9592301373078277	0.9600142822913681	0.8579591448026285	0.07632969858578163	1643.8704876783145	121.08837912480358
hyph_bench_cs_ujc	guarded_ngram	fold-3	21002	0.9591702646893185	0.9553592296545599	0.957260954076017	0.9584056271981243	0.85215693743453	0.07880201885534711	1695.9560221059096	119.66221312255976
hyph_bench_cs_ujc	guarded_ngram	fold-4	21066	0.960985384252711	0.9556237985840874	0.9582970920802087	0.9599082594731041	0.8568783822272856	0.07443273521313966	1608.0919575968985	117.06491740244944
hyph_bench_cssk_cshyphen	hypher	fold-0	167117	0.9331359188031836	0.9986945938749591	0.9648028554713552	0.9455499241703921	0.8173495215926566	0.18063392712889773	2779.3208280673884	459.73846167654995
hyph_bench_cssk_cshyphen	hypher	fold-1	167095	0.933215800782326	0.9987570666773585	0.9648747055043906	0.9456267414944506	0.8178281815733565	0.18031060175349353	2773.796252057122	464.4713710763338
hyph_bench_cssk_cshyphen	hypher	fold-2	167091	0.9333461098738427	0.9986988834439989	0.9649171950153039	0.9457233427928212	0.8180572263018355	0.18000371055293224	2767.030111045167	456.7807488135208
hyph_bench_cssk_cshyphen	hypher	fold-3	167090	0.9333597429464325	0.9986671878605775	0.9649096861825206	0.9457288556792345	0.817804775869292	0.18016637740140043	2767.4222850609463	449.87767311029984
hyph_bench_cssk_cshyphen	hypher	fold-4	167089	0.9332717332717333	0.9987333785361812	0.9648935456393005	0.9456684375629757	0.8177318674478871	0.1804188187133803	2771.9187296202604	454.1474654226192
hyph_bench_cssk_cshyphen	liang_tex	fold-0	167117	0.9104411332472876	0.8574226683154464	0.8831368854580021	0.899319307125974	0.6538233692562696	0.15646523094598394	3020.484949832776	1154.832529904199
hyph_bench_cssk_cshyphen	liang_tex	fold-1	167095	0.9100128238664277	0.8584010880882026	0.8834538033211314	0.8991998678634606	0.6541189143900177	0.15786229390466502	3039.733450860929	1113.0504850534128
hyph_bench_cssk_cshyphen	liang_tex	fold-2	167091	0.9106245650772168	0.8582925911996991	0.8836844787183129	0.8996537937306959	0.6557684136189262	0.15634594322854015	3014.031896055245	1116.5647635120981
hyph_bench_cssk_cshyphen	liang_tex	fold-3	167090	0.9107882296312116	0.8578905016123899	0.8835483317330215	0.8996931715556428	0.6540547010593094	0.15644862050392006	3010.5777929816295	1154.0368588784488
hyph_bench_cssk_cshyphen	liang_tex	fold-4	167089	0.9102483590958211	0.8581853154209118	0.883450464010742	0.8993364518124428	0.6545673263949153	0.15723357013328226	3028.5949707359523	1098.6954183100024
hyph_bench_cssk_cshyphen	liang_libreoffice	fold-0	167117	0.9104411332472876	0.8574226683154464	0.8831368854580021	0.899319307125974	0.6538233692562696	0.15646523094598394	3020.484949832776	1136.9669028285573
hyph_bench_cssk_cshyphen	liang_libreoffice	fold-1	167095	0.9100128238664277	0.8584010880882026	0.8834538033211314	0.8991998678634606	0.6541189143900177	0.15786229390466502	3039.733450860929	1128.7253634160209
hyph_bench_cssk_cshyphen	liang_libreoffice	fold-2	167091	0.9106245650772168	0.8582925911996991	0.8836844787183129	0.8996537937306959	0.6557684136189262	0.15634594322854015	3014.031896055245	1101.459446648832
hyph_bench_cssk_cshyphen	liang_libreoffice	fold-3	167090	0.9107882296312116	0.8578905016123899	0.8835483317330215	0.8996931715556428	0.6540547010593094	0.15644862050392006	3010.5777929816295	1109.7705577832305
hyph_bench_cssk_cshyphen	liang_libreoffice	fold-4	167089	0.9102483590958211	0.8581853154209118	0.883450464010742	0.8993364518124428	0.6545673263949153	0.15723357013328226	3028.5949707359523	1105.9863180700106
hyph_bench_cssk_cshyphen	guarded_ngram	fold-0	167117	0.9737196397707633	0.9661699266172634	0.969930092108065	0.9722002728384096	0.894415289886726	0.050335992149212826	933.8473606178671	121.82236098063034
hyph_bench_cssk_cshyphen	guarded_ngram	fold-1	167095	0.9728175149777641	0.9669541353971702	0.9698769635206573	0.9716391572902567	0.8944552500074808	0.05193452826236572	967.5552715544785	121.31864867291063
hyph_bench_cssk_cshyphen	guarded_ngram	fold-2	167091	0.9737011079275274	0.9672297856336969	0.970454658655087	0.9723999252286244	0.8961523959997846	0.050475489403977475	934.7062021303508	121.4743762380978
hyph_bench_cssk_cshyphen	guarded_ngram	fold-3	167090	0.9736131317316912	0.9665181386355038	0.9700526621111556	0.9721858120882717	0.8946196660482375	0.05065533544796218	938.479263416413	129.51408432581243
hyph_bench_cssk_cshyphen	guarded_ngram	fold-4	167089	0.9733810968876033	0.9669071018543564	0.9701332987559688	0.9720793716211888	0.8946788837086822	0.05098480450538336	946.3888670763597	121.98169837631441
hyph_bench_de_wortliste	hypher	fold-0	120994	0.9630501158716734	0.9702082105839689	0.9666159114240634	0.9644732724593891	0.8933666132204903	0.10626973238342396	1136.3626767729224	753.6416061953485
hyph_bench_de_wortliste	hypher	fold-1	120994	0.963836646226868	0.9706407316331888	0.9672267230164575	0.9651898212509684	0.895606393705473	0.10402995189844125	1112.6680904586242	754.7937810965833
hyph_bench_de_wortliste	hypher	fold-2	120994	0.9634808505503787	0.9704265732720523	0.9669412389604599	0.964862029571369	0.8945567548804073	0.10510438534142189	1123.578441670864	752.5607674760732
hyph_bench_de_wortliste	hypher	fold-3	120994	0.9637700263081291	0.970910288047628	0.967326981011943	0.9651896645420484	0.8954824206158983	0.10413739524273931	1115.0986709761614	755.1364460221168
hyph_bench_de_wortliste	hypher	fold-4	120994	0.9636284130162153	0.9707056519197578	0.9671540855547811	0.9650355929225085	0.8950278526207911	0.10461675785576144	1119.3076119688474	749.4579450220672
hyph_bench_de_wortliste	liang_tex	fold-0	120994	0.964797183073918	0.9684447453335326	0.9666175231676495	0.9655244957530176	0.8934492619468734	0.09545101409987272	1133.1862769515908	1799.829003504306
hyph_bench_de_wortliste	liang_tex	fold-1	120994	0.9656144323098873	0.9688965658576573	0.9672527148140949	0.9662690788989625	0.8956559829413029	0.09323602823280493	1107.1611767380598	1724.5133023125115
hyph_bench_de_wortliste	liang_tex	fold-2	120994	0.9652915127859556	0.9686569654603097	0.9669713108466478	0.9659627311786148	0.8946559333520671	0.0941947534588492	1117.2386982638573	1739.6536361307171
hyph_bench_de_wortliste	liang_tex	fold-3	120994	0.965680618560917	0.9691797588439991	0.9674270246543273	0.9663784238216313	0.8955485395970048	0.09297981718101724	1105.3887348007872	1750.2321569664614
hyph_bench_de_wortliste	liang_tex	fold-4	120994	0.9654262168426474	0.9689480764373116	0.9671839405657859	0.9661285391131379	0.8951518257103658	0.09366580160999718	1113.101222112405	1729.4820404317572
hyph_bench_de_wortliste	liang_libreoffice	fold-0	120994	0.9015192316323325	0.9419039831658417	0.9212692433930002	0.9093167420686455	0.7266723969783626	0.2417309949253682	3299.651970740354	1699.3339202770383
hyph_bench_de_wortliste	liang_libreoffice	fold-1	120994	0.9027304232744892	0.9425798518605264	0.9222248638677318	0.910428456216116	0.730383324792965	0.23782171016744633	3259.102959882905	1663.2972155644081
hyph_bench_de_wortliste	liang_libreoffice	fold-2	120994	0.902834098927047	0.9424221400615327	0.9222034595018856	0.9104833787814255	0.7286642312841959	0.2389870572094484	3253.4952443642737	1678.1268938955648
hyph_bench_de_wortliste	liang_libreoffice	fold-3	120994	0.9025017260057141	0.9427364434033896	0.9221804333394032	0.9102715579979879	0.7290444154255583	0.23839198637948988	3268.4657968320157	1707.8481680909795
