dataset	method	fold	words	precision	recall	f1	f0.5	exact	serious_error	fp_per_100k	ns_per_word
moby_en_us	hypher	fold-0	36587	0.9114900881440965	0.7387719372555663	0.8160925814727878	0.8707742693484128	0.5621668898789187	0.12255719244540411	2449.749046569821	458.05295159482876
moby_en_us	hypher	fold-1	36636	0.9115856317928857	0.7356054846974688	0.8141950060379416	0.8699611744883755	0.56051424828038	0.12304836772573426	2445.8987278237873	454.36860847254064
moby_en_us	hypher	fold-2	36648	0.9096203883997036	0.7393795083689334	0.8157122106499366	0.869576676868944	0.5600851342501637	0.12641890416939533	2508.261241744736	457.9704213053918
moby_en_us	hypher	fold-3	36652	0.9138152861812365	0.7365950051854135	0.8156902304648095	0.8718623307168119	0.5625341045509112	0.12045727381861836	2383.8607290564587	456.98774964531265
moby_en_us	hypher	fold-4	36609	0.9139156668284902	0.7406871355301061	0.8182333263479793	0.8730773944989384	0.5654347291649594	0.12070802261738917	2387.6046530639724	474.64043431942963
moby_en_us	liang_tex	fold-0	36587	0.911487004389938	0.7387436994366555	0.816074116243342	0.8707641715733102	0.5621395577664198	0.12255719244540411	2449.749046569821	1147.1876852433925
moby_en_us	liang_tex	fold-1	36636	0.9115856317928857	0.7356054846974688	0.8141950060379416	0.8699611744883755	0.56051424828038	0.12304836772573426	2445.8987278237873	1178.6817611092913
moby_en_us	liang_tex	fold-2	36648	0.9096720831251185	0.7394215281182156	0.8157585684705011	0.8696260958662656	0.5601397074874481	0.12633704431346868	2506.826583265187	1162.5224661645927
moby_en_us	liang_tex	fold-3	36652	0.9138470633237125	0.7365950051854135	0.8157028897786883	0.8718854716167347	0.5625341045509112	0.12040270653716031	2382.8989131480234	1182.1879204409036
moby_en_us	liang_tex	fold-4	36609	0.9139171593529483	0.7407011873814375	0.8182424985641328	0.8730823889516452	0.5654620448523587	0.12070802261738917	2387.6046530639724	1193.5282990521457
moby_en_us	guarded_ngram	fold-0	36587	0.9549231442038257	0.832394425854547	0.8894588355988715	0.9276141266209961	0.698800120261295	0.07270341924727362	1341.7932683731178	54.12673900565775
moby_en_us	guarded_ngram	fold-1	36636	0.9540488848547718	0.8286313596305994	0.8869283507873126	0.9260174061884474	0.6928431051424828	0.07276995305164319	1368.2168297909307	54.37013211049241
moby_en_us	guarded_ngram	fold-2	36648	0.9547425864579833	0.8356187408081799	0.8912176394138122	0.9282760165928619	0.6995743287491814	0.07361929709670377	1352.4047267214705	54.313855053481774
moby_en_us	guarded_ngram	fold-3	36652	0.9531375510072937	0.8314740589175099	0.8881586826347306	0.9260374978928508	0.6945869256793626	0.07541198297500819	1402.8085024526306	57.64933264214777
moby_en_us	guarded_ngram	fold-4	36609	0.9556811230239222	0.8341881542893276	0.8908112812586753	0.9286315414047809	0.7002649621677729	0.07091152448851375	1323.8822980634675	56.695917397361306
wiktextract_cs	hypher	fold-0	12507	0.945209115383157	0.9821907013396375	0.9633451200896566	0.9523809523809523	0.876469177260734	0.10098344926840969	2533.1323189117174	419.6981018629568
wiktextract_cs	hypher	fold-1	12501	0.9475589770951637	0.9819898100240926	0.9644672019861128	0.9542506236806756	0.8820894328453723	0.09399248060155188	2405.5102968427677	425.9954531637469
wiktextract_cs	hypher	fold-2	12458	0.942552628595185	0.9821984167618447	0.961967213114754	0.9502236582410633	0.8767860009632364	0.10274522395248033	2638.5224274406332	411.85724032750034
wiktextract_cs	hypher	fold-3	12382	0.9462152909851654	0.9810308790472059	0.9633086142467132	0.9529793053778435	0.8774834437086093	0.09723792602164433	2463.242979583304	413.82712808916165
wiktextract_cs	hypher	fold-4	12388	0.9430674191580232	0.9822854192318385	0.9622769985019747	0.9506584763940249	0.8779463997416855	0.10050048433968356	2606.721955477957	418.49235873425897
wiktextract_cs	liang_tex	fold-0	12507	0.9511919557112191	0.8864438010002632	0.9176771943210617	0.9374965201607963	0.8081074598224994	0.0629247621332054	1888.9374726716221	997.8060957863596
wiktextract_cs	liang_tex	fold-1	12501	0.9528381813047162	0.8907074973600845	0.9207258834765999	0.9397281639928698	0.8160947124230061	0.059995200383969285	1816.7181584787434	1014.6255627549796
wiktextract_cs	liang_tex	fold-2	12458	0.9487465181058495	0.8922770617206329	0.9196457500810022	0.9368879695442641	0.8099213356879114	0.06509873173864184	1983.0150450489286	988.3133327982019
wiktextract_cs	liang_tex	fold-3	12382	0.9502270052127123	0.8895010231386746	0.9188617886178861	0.9374274244384726	0.8086738814408012	0.06444839282829914	1920.12454861937	1020.2757357454369
wiktextract_cs	liang_tex	fold-4	12388	0.9484716650658229	0.889613142554319	0.9181000300801225	0.9360850266544731	0.8081207620277688	0.06328705198579271	1978.8660576735306	1004.574654504359
wiktextract_cs	guarded_ngram	fold-0	12507	0.9573937554206418	0.9298236377994209	0.9434073124482547	0.9517497063166174	0.853202206764212	0.060046374030542894	1718.4083952776564	88.37084512672904
wiktextract_cs	guarded_ngram	fold-1	12501	0.9583129783422896	0.9321541710665259	0.9450525921366058	0.952964418343553	0.8588912886969042	0.059515238780897525	1670.9455637265567	87.87303735701144
