dataset	method	folds	words	precision	recall	f1	f0.5	exact	serious_error	fp_per_100k	ns_per_word
moby_en_us	hypher	5	36626.400000 (sd 27.700181)	0.912085 (sd 0.001804)	0.738208 (sd 0.002074)	0.815985 (sd 0.001452)	0.871050 (sd 0.001432)	0.562147 (sd 0.002114)	0.122638 (sd 0.002395)	2435.074880 (sd 51.393195)	460.404033 (sd 8.096643)
moby_en_us	liang_tex	5	36626.400000 (sd 27.700181)	0.912102 (sd 0.001795)	0.738213 (sd 0.002083)	0.815995 (sd 0.001452)	0.871064 (sd 0.001425)	0.562158 (sd 0.002112)	0.122611 (sd 0.002376)	2434.595585 (sd 51.125823)	1172.821626 (sd 18.124614)
moby_en_us	guarded_ngram	5	36626.400000 (sd 27.700181)	0.954507 (sd 0.000961)	0.832461 (sd 0.002674)	0.889315 (sd 0.001797)	0.927315 (sd 0.001231)	0.697214 (sd 0.003294)	0.073083 (sd 0.001633)	1357.821125 (sd 29.874773)	55.431195 (sd 1.627542)
wiktextract_cs	hypher	5	12447.200000 (sd 59.880715)	0.944921 (sd 0.002107)	0.981939 (sd 0.000519)	0.963073 (sd 0.000991)	0.952099 (sd 0.001664)	0.878155 (sd 0.002274)	0.099092 (sd 0.003477)	2529.425996 (sd 96.986759)	417.974056 (sd 5.527120)
wiktextract_cs	liang_tex	5	12447.200000 (sd 59.880715)	0.950295 (sd 0.001803)	0.889709 (sd 0.002139)	0.919002 (sd 0.001222)	0.937525 (sd 0.001355)	0.810184 (sd 0.003386)	0.063151 (sd 0.001969)	1917.532256 (sd 68.988577)	1005.119076 (sd 12.809242)
wiktextract_cs	guarded_ngram	5	12447.200000 (sd 59.880715)	0.956788 (sd 0.001654)	0.931835 (sd 0.001621)	0.944146 (sd 0.001361)	0.951690 (sd 0.001472)	0.855478 (sd 0.003748)	0.061758 (sd 0.002531)	1734.117870 (sd 64.779415)	90.293948 (sd 2.069797)
wiktextract_de	hypher	5	193710.400000 (sd 57.821276)	0.952699 (sd 0.000212)	0.959367 (sd 0.000240)	0.956021 (sd 0.000162)	0.954025 (sd 0.000178)	0.820512 (sd 0.001175)	0.098329 (sd 0.000358)	1471.923186 (sd 6.179558)	760.790154 (sd 11.510533)
wiktextract_de	liang_tex	5	193710.400000 (sd 57.821276)	0.952158 (sd 0.000211)	0.958229 (sd 0.000244)	0.955184 (sd 0.000158)	0.953366 (sd 0.000174)	0.825555 (sd 0.001128)	0.094424 (sd 0.000293)	1575.641759 (sd 7.010615)	1799.785004 (sd 41.585196)
wiktextract_de	guarded_ngram	5	193710.400000 (sd 57.821276)	0.996206 (sd 0.000063)	0.975440 (sd 0.000167)	0.985713 (sd 0.000107)	0.991982 (sd 0.000077)	0.932481 (sd 0.000423)	0.009648 (sd 0.000159)	121.580928 (sd 1.999769)	110.993080 (sd 14.292778)
wiktextract_es	hypher	5	162191.200000 (sd 85.841132)	0.998847 (sd 0.000063)	0.920072 (sd 0.000318)	0.957842 (sd 0.000185)	0.982031 (sd 0.000102)	0.773941 (sd 0.000815)	0.003228 (sd 0.000153)	46.027812 (sd 2.501233)	446.015535 (sd 5.889257)
wiktextract_es	liang_tex	5	162191.200000 (sd 85.841132)	0.998779 (sd 0.000069)	0.933348 (sd 0.000314)	0.964956 (sd 0.000182)	0.984969 (sd 0.000103)	0.829183 (sd 0.000746)	0.003109 (sd 0.000167)	51.271818 (sd 2.860374)	1124.645875 (sd 7.070077)
wiktextract_es	guarded_ngram	5	162191.200000 (sd 85.841132)	0.999174 (sd 0.000049)	0.993018 (sd 0.000205)	0.996086 (sd 0.000090)	0.997936 (sd 0.000035)	0.981094 (sd 0.000467)	0.002242 (sd 0.000134)	36.911554 (sd 2.166794)	75.798060 (sd 0.844339)
wiktextract_it	hypher	5	911.600000 (sd 4.037326)	0.982581 (sd 0.004800)	0.972430 (sd 0.004183)	0.977478 (sd 0.004411)	0.980533 (sd 0.004627)	0.923001 (sd 0.011983)	0.033787 (sd 0.007015)	772.654259 (sd 214.404348)	281.476591 (sd 7.482179)
wiktextract_it	liang_tex	5	911.600000 (sd 4.037326)	0.979136 (sd 0.007618)	0.964494 (sd 0.004177)	0.971756 (sd 0.005696)	0.976169 (sd 0.006817)	0.928710 (sd 0.012238)	0.028513 (sd 0.007762)	787.000279 (sd 283.060424)	872.512376 (sd 20.552411)
wiktextract_it	italian_onset_syllable	5	911.600000 (sd 4.037326)	0.984444 (sd 0.004706)	0.975616 (sd 0.003526)	0.980009 (sd 0.003967)	0.982665 (sd 0.004382)	0.930028 (sd 0.009458)	0.032237 (sd 0.007727)	696.007193 (sd 212.106718)	56.050362 (sd 1.829761)
wiktextract_nl	hypher	5	125476.400000 (sd 57.295724)	0.958353 (sd 0.000622)	0.975751 (sd 0.000354)	0.966974 (sd 0.000475)	0.961783 (sd 0.000562)	0.869507 (sd 0.001198)	0.103838 (sd 0.001018)	1284.431884 (sd 18.559234)	626.290226 (sd 8.610136)
