dataset	method	folds	words	precision	recall	f1	f0.5	exact	serious_error	fp_per_100k	ns_per_word
moby_en_us_typeset	hypher	5	36474.400000 (sd 28.544702)	0.898387 (sd 0.001213)	0.742483 (sd 0.001127)	0.813027 (sd 0.000493)	0.862178 (sd 0.000720)	0.561523 (sd 0.001993)	0.133408 (sd 0.001616)	2818.788549 (sd 37.945521)	425.218943 (sd 3.813758)
moby_en_us_typeset	liang_tex	5	36474.400000 (sd 28.544702)	0.898403 (sd 0.001205)	0.742489 (sd 0.001132)	0.813037 (sd 0.000492)	0.862192 (sd 0.000712)	0.561534 (sd 0.002000)	0.133381 (sd 0.001613)	2818.305732 (sd 37.740596)	1073.620340 (sd 28.149921)
moby_en_us_typeset	guarded_ngram	5	36474.400000 (sd 28.544702)	0.954746 (sd 0.000855)	0.835179 (sd 0.001441)	0.890968 (sd 0.000974)	0.928169 (sd 0.000805)	0.706618 (sd 0.002503)	0.071568 (sd 0.001224)	1328.775300 (sd 28.660471)	149.249964 (sd 5.460628)
wiktextract_cs_typeset	hypher	5	12447.200000 (sd 54.029622)	0.704327 (sd 0.003245)	0.980593 (sd 0.001325)	0.819808 (sd 0.002332)	0.746382 (sd 0.002949)	0.434845 (sd 0.004748)	0.553794 (sd 0.004696)	13578.479605 (sd 179.869909)	390.104098 (sd 3.117759)
wiktextract_cs_typeset	liang_tex	5	12447.200000 (sd 54.029622)	0.945656 (sd 0.002372)	0.889475 (sd 0.001985)	0.916705 (sd 0.001880)	0.933859 (sd 0.002105)	0.807832 (sd 0.002333)	0.065777 (sd 0.002235)	2096.532182 (sd 92.041218)	965.598100 (sd 82.224406)
wiktextract_cs_typeset	guarded_ngram	5	12447.200000 (sd 54.029622)	0.956739 (sd 0.002066)	0.931950 (sd 0.002696)	0.944180 (sd 0.001998)	0.951675 (sd 0.001922)	0.856709 (sd 0.003516)	0.061487 (sd 0.002579)	1728.477031 (sd 84.081055)	263.939796 (sd 12.221582)
wiktextract_de_typeset	hypher	5	193710.400000 (sd 53.561180)	0.891771 (sd 0.000297)	0.958124 (sd 0.000320)	0.923757 (sd 0.000041)	0.904296 (sd 0.000190)	0.681058 (sd 0.000652)	0.254283 (sd 0.000888)	3367.864589 (sd 9.113455)	694.223675 (sd 4.938500)
wiktextract_de_typeset	liang_tex	5	193710.400000 (sd 53.561180)	0.945493 (sd 0.000212)	0.958124 (sd 0.000320)	0.951766 (sd 0.000128)	0.947992 (sd 0.000143)	0.817241 (sd 0.000582)	0.104399 (sd 0.000479)	1795.161860 (sd 7.376126)	1632.521917 (sd 13.082325)
wiktextract_de_typeset	guarded_ngram	5	193710.400000 (sd 53.561180)	0.996264 (sd 0.000090)	0.975399 (sd 0.000354)	0.985721 (sd 0.000190)	0.992020 (sd 0.000107)	0.932767 (sd 0.000797)	0.009439 (sd 0.000209)	118.876799 (sd 2.871079)	409.242220 (sd 17.924866)
wiktextract_es_typeset	hypher	5	162191.200000 (sd 97.433054)	0.904000 (sd 0.000620)	0.933347 (sd 0.000203)	0.918439 (sd 0.000364)	0.909721 (sd 0.000516)	0.598658 (sd 0.001464)	0.270753 (sd 0.001512)	3831.315565 (sd 24.950374)	423.823006 (sd 11.886527)
wiktextract_es_typeset	liang_tex	5	162191.200000 (sd 97.433054)	0.998764 (sd 0.000037)	0.933347 (sd 0.000203)	0.964948 (sd 0.000110)	0.984957 (sd 0.000054)	0.829156 (sd 0.000717)	0.003137 (sd 0.000091)	51.897953 (sd 1.555697)	1033.420460 (sd 3.210465)
wiktextract_es_typeset	guarded_ngram	5	162191.200000 (sd 97.433054)	0.999167 (sd 0.000017)	0.993017 (sd 0.000149)	0.996082 (sd 0.000074)	0.997931 (sd 0.000031)	0.981097 (sd 0.000408)	0.002262 (sd 0.000044)	37.214797 (sd 0.755500)	176.513737 (sd 2.673308)
wiktextract_it_typeset	hypher	5	911.600000 (sd 12.157302)	0.684053 (sd 0.004278)	0.964519 (sd 0.003181)	0.800415 (sd 0.001943)	0.726285 (sd 0.003524)	0.276568 (sd 0.018960)	0.714202 (sd 0.016715)	14008.666810 (sd 301.029752)	260.813288 (sd 5.026492)
